group ,A ,B ,C ,D ,E 
Eday -1 ,13.824726,13.331262,13.906736,14.385801,14.015157
Eday ,13.563925,13.53181,13.77143,14.26738,14.153363
Eday +1 ,13.875788,13.622274,13.705904,14.110427,14.381456
